频道1,#genre#
东森电影,http://198.16.64.10:8278/ettvmovie/playlist.m3u8?tid=MDED1943740419437404&ct=19225&tsum=120834a4218c4b5c3bb19efb8116f859
东森洋片,http://gxfrg007.8800.org:8282/tsfile/live/1050_1.m3u8
东森洋片,http://50.7.220.74:8278/ettvwestern/playlist.m3u8?tid=MA6A9686180296861802&ct=19193&tsum=79b2173b4455c70b50330eed478049a4
龙翔电影台,http://gxfrg007.8800.org:8282/tsfile/live/1048_1.m3u8
中国电影,http://gxfrg007.8800.org:8282/tsfile/live/1088_1.m3u8
VIU动画,http://206.221.176.47:64030
有线电影台,P2p://ns1.hellotvvod.com:9906/3c0eb2fd7f0c4c8ea4c2ab55408bb52f
千禧经典,http://iptv12k.com:35461/+66627837567/free11am-6pm/1003
东森新闻,http://198.16.64.10:8278/ettvnews/playlist.m3u8?tid=MAEA2793211727932117&ct=19225&tsum=151345e2ab6bc0c89ac85598f1988cd3
三立戏剧台,http://198.16.64.10:8278/sanlixiju_twn/playlist.m3u8?tid=MBDB8405357084053570&ct=19226&tsum=78944c0951d21a699e46fff4318a3799
龙华戏剧,http://198.16.64.10:8278/lunghuaxiju_twn/playlist.m3u8?tid=MBAB4709384347093843&ct=19226&tsum=a2a7258f8565588e10b8da2f26ba8039
龙华偶像,http://198.16.64.10:8278/lunghuaidol_twn/playlist.m3u8?tid=ME6E1618913016189130&ct=19226&tsum=392d7662a2ff7080289fbe9646e8501d
八大综合台,http://198.16.64.10:8278/badazhonghe/playlist.m3u8?tid=MC7C4692263546922635&ct=19225&tsum=ffdc7a6397b511103e0df0b92e678790
八大戏剧台,http://198.16.64.10:8278/badadrama/playlist.m3u8?tid=ME4E4734124647341246&ct=19225&tsum=c4e596572a79ad99675ee2137d1cc43d
AOD350,http://198.16.64.10:8278/Aod350/playlist.m3u8?tid=MB1B2059094520590945&ct=19225&tsum=bcc2ef93d38a7d6692870a50d8754563
华丽台,http://198.16.64.10:8278/Wlt/playlist.m3u8?tid=MC9C7523788875237888&ct=19225&tsum=fc74aa160d3ca61369c2e5f3ae79ee8e
HKC新闻台,mitv://ns1.hellotvvod.com:9906/f0596da6565b4501882db7e3267faef1
HBO,http://50.7.220.74:8278/hbohd_twn/playlist.m3u8?tid=ME7E8473082984730829&ct=18392&tsum=acad12b7c208bda39b68dec98349e138
龙华洋片,http://198.16.64.10:8278/lunghuawestern_twn/playlist.m3u8?tid=MC1C3944472239444722&ct=19226&tsum=99c0c7c82e2fc48b16605865c3eaeb82
凤凰电影,http://111.59.189.40:8445/tsfile/live/1022_1.m3u8
东森幼幼,http://198.16.64.10:8278/yoyo_twn/playlist.m3u8?tid=MEBE7340063173400631&ct=19225&tsum=e95304aa3743de8d4f23a23642d4d8a5
CN卡通頻道,http://198.16.64.10:8278/momo1_twn/playlist.m3u8?tid=MA0A4898983648989836&ct=19225&tsum=bd109117d126916f203880b1f2063d5e
TVB星河,http://206.221.176.47:64020
CATCHPLAY电影,http://www.336699.live:1935/blockfour/4gtv-4gtv076.stream/playlist.m3u8
ELTA影剧,http://50.7.220.74:8278/eltadrama_twn/playlist.m3u8?tid=mea60e416943110603068&ct=17874&tsum=ede38d2a218a34b5397af9d19e0c39a3
纬来电影,http://50.7.220.74:8278/videolandmovie/playlist.m3u8?tid=ma2dac66da407&ct=18335&tsum=9a5a39559f64a71081ef9b3a85f2886c
无线新闻,http://23.237.10.66:16110
翡翠台,http://23.237.10.66:16106
翡翠台,mitv://fccs.word-tv.com:9906/6258ea0e00051f8e11fc64eb04aee473
卫视电影,http://23.237.10.66:16010
龙华电影HD,http://www.yshmzmc.top/twpd/twjm.php?id=live1245
天映經典,http://198.16.64.10:8278/Celestial2/playlist.m3u8?tid=MD3D1210050512100505&ct=19225&tsum=d40ac484b1a904e59158bd911bbd8b89
天映頻道,http://198.16.64.10:8278/Celestial/playlist.m3u8?tid=MCFC1164333411643334&ct=19225&tsum=3668a5dd07515bbf30cfeebe267936ff
星卫HD电影,http://198.16.64.10:8278/xingwei_movie/playlist.m3u8?tid=MBDB4578128345781283&ct=19225&tsum=f2041ec954c95b4a5fe29d7ccbfe5b60
小太阳,http://198.16.64.10:8278/Xiaotaiyang/playlist.m3u8?tid=MAFA1322751713227517&ct=19226&tsum=25cc9973f561f9d263360e1636e24902
欢喜台,http://198.16.64.10:8278/Huahee/playlist.m3u8?tid=MACA4355211343552113&ct=19225&tsum=ac0abb0a68c5c3600edaec9002729496
双星,http://198.16.64.10:8278/Shuangxing/playlist.m3u8?tid=MB0B7558160375581603&ct=19226&tsum=1625699c9d4f1dfe61991065455cb256
全佳,http://198.16.64.10:8278/Quanjia/playlist.m3u8?tid=MFFF3293542732935427&ct=19226&tsum=27c80d1bed9942e20443c39f523846fb
翡翠华丽,http://23.237.10.66:16410
美亚电影,http://198.16.64.10:8278/meiyamovie_twn/playlist.m3u8?tid=MDDD9575732595757325&ct=19211&tsum=55dac286bd545b7950cf8dd18fedfe7a
HBO温馨家庭,http://50.7.220.74:8278/fyi_twn/playlist.m3u8?tid=MFCF7312728573127285&ct=18393&tsum=bc4d3db9ca83c3765cc75512a1bbbbe3
EYE TV戏剧,http://50.7.220.74:8278/eyetvxiju_twn/playlist.m3u8?tid=m379e8846d31b14432367&ct=17874&tsum=2c4c2acd16a5a5e00797ad6f4c4cb586
好莱坞电影,http://198.16.64.10:8278/hollywoodmovies_twn/playlist.m3u8?tid=MF6F7143280071432800&ct=19211&tsum=c0bc00f05a03eb1bef16741e9fd9737e
J2,https://p2.weizan.cn/1646497941/269664979080385265/live.m3u8
LSTime电影,http://50.7.220.74:8278/lungxiangtime_twn/playlist.m3u8?tid=MADA6805114368051143&ct=18392&tsum=d6a1f02ca9abd5368d2a365e40247ae8
动物星球,http://50.7.220.74:8278/animalplanet_twn/playlist.m3u8?tid=m4da2c053371613331372&ct=17874&tsum=4481f502bb91c2c67964feecfbc4b702
爆谷台,http://hs.crtvhstv.xyz:80/play/VcEn_Ptf76IRZM6gvuBMygQ164eZT2c3b45rryEtOk4
港版美亚电影,http://hs.crtvhstv.xyz:80/play/VcEn_Ptf76IRZM6gvuBMyv6MVuLvv8Y3JPwBjg9xLNw
翡翠台H凤凰卫视中文台,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰卫视资讯台,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰卫视资讯台,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰卫视中文台,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
龙翔时代,http://120.84.96.66:808/hls/35/index.m3u8?blog.ntnas.top
天映电影,http://120.84.96.66:808/hls/85/index.m3u8?blog.ntnas.top
东森洋片,http://120.84.96.66:808/hls/33/index.m3u8?blog.ntnas.top
东森电影,http://120.84.96.66:808/hls/32/index.m3u8?blog.ntnas.top
CINEMA影院HD,http://21929815.rossteleccom.net/iptv/KBDMQMYTHBMXED/19233/index.m3u8
MYTV电影台1 HD,http://21929815.rossteleccom.net/iptv/KBDMQMYTHBMXED/19407/index.m3u8
MYTV电影台2 HD,http://21929815.rossteleccom.net/iptv/KBDMQMYTHBMXED/19408/index.m3u8
MYTV电影台4 HD,http://21929815.rossteleccom.net/iptv/KBDMQMYTHBMXED/19409/index.m3u8
MYTV电影台5 HD,http://21929815.rossteleccom.net/iptv/KBDMQMYTHBMXED/19410/index.m3u8
MYTV电影台3 HD,http://21929815.rossteleccom.net/iptv/KBDMQMYTHBMXED/19411/index.m3u8
FRESH电影 6,http://21929815.rossteleccom.net/iptv/KBDMQMYTHBMXED/19301/index.m3u8
FRESH电影 7,http://21929815.rossteleccom.net/iptv/KBDMQMYTHBMXED/19300/index.m3u8
FRESH电影8,http://21929815.rossteleccom.net/iptv/KBDMQMYTHBMXED/19299/index.m3u8
D,http://118.31.113.130:82/gudou.php?id=1350_4500
凤凰资讯,http://play-live.ifeng.com/live/06OLEEWQKN4.m3u8?$高清
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv2.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_tv2.m3u8
凤凰资讯,https://playtv-live.ifeng.com/live/06OLEEWQKN4_tv1.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4_tv1.m3u8
凤凰卫视,http://play-live.ifeng.com/live/06OLEGEGM4G.m3u8?$高清
凤凰卫视,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv1.m3u8
凤凰卫视,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G_tv2.m3u8
凤凰卫视,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8
凤凰卫视,https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
凤凰卫视,http://playtv-live.ifeng.com/live/06OLEGEGM4G_tv1.m3u8
凤凰卫视,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰卫视,http://playtv-live.ifeng.com:80/live/06OLEGEGM4G.m3u8
凤凰卫视,https://playtv-live.ifeng.com/live/06OLEGEGM4G_tv2.m3u8
凤凰卫视,http://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?$高清
明珠台HD,http://118.31.113.130:82/gudou.php?id=1351_4500
珠江频道FHD,http://118.31.113.130:82/gudou.php?id=gdzhujiangHD_7500
广东频道1,#genre#
广东体育FHD,http://118.31.113.130:82/gudou.php?id=gdsportsHD_7000
广东经济FHD,http://118.31.113.130:82/gudou.php?id=GDjingjikejiaoHD_7000
广东哈哈,http://zb.iptv6.top/gg/gg1/dsm.m3u8
广东综艺4K,http://118.31.113.130:82/gudou.php?id=GDZYHD4K_38000
汕头综合HD,http://118.31.113.130:82/gudou.php?id=shantouyitaogaoqing_4500
汕头经济HD,http://118.31.113.130:82/gudou.php?id=shantouertaogaoqing_4500
汕头文旅HD,http://118.31.113.130:82/gudou.php?id=2508_4500
东莞新闻综合,http://118.31.113.130:82/gudou.php?id=2121
东莞生活资讯,http://118.31.113.130:82/gudou.php?id=2122
佛山影视 高清,http://118.31.113.130:82/gudou.php?id=foshanyingshiHD_4500
佛山公共 高清,http://118.31.113.130:82/gudou.php?id=foshangonggongHD_4500
佛山综合 高清,http://118.31.113.130:82/gudou.php?id=foshanzongheHD_4500
佛山南海 高清,http://118.31.113.130:82/gudou.php?id=nanhaiHD_4500
佛山顺德 高清,http://118.31.113.130:82/gudou.php?id=shundeHD_4500
广州增城 高清,http://118.31.113.130:82/gudou.php?id=2079_7500
中山公共HD,http://118.31.113.130:82/gudou.php?id=3663_4500
中山教育HD,http://118.31.113.130:82/gudou.php?id=3664_4500
中山综合HD,http://118.31.113.130:82/gudou.php?id=3665_4500
梅州一套HD,http://118.31.113.130:82/gudou.php?id=meizhou1HD_4500
梅州二套HD,http://118.31.113.130:82/gudou.php?id=meizhou2HD_4500
惠州综合HD,http://118.31.113.130:82/gudou.php?id=2314_4500
惠州公共HD,http://118.31.113.130:82/gudou.php?id=2316_4500
潮州综合HD,http://118.31.113.130:82/gudou.php?id=3131_4500
潮州民生HD,http://118.31.113.130:82/gudou.php?id=3132_4500
博罗综合HD,http://118.31.113.130:82/gudou.php?id=2305_4500
鹤山综合 高清,http://118.31.113.130:82/gudou.php?id=3709
求索纪录FHD,http://118.31.113.130:82/gudou.php?id=QSJLHD_7000
求索科学FHD,http://118.31.113.130:82/gudou.php?id=qiusuokexueHD_7000
求索动物FHD,http://118.31.113.130:82/gudou.php?id=QSDWHD_7000
求索生活FHD,http://118.31.113.130:82/gudou.php?id=QSSHHD_7000
快乐垂钓FHD,http://118.31.113.130:82/gudou.php?id=huanxiaojuchangHD_7000
乐游FHD,http://118.31.113.130:82/gudou.php?id=quanjishiHD_7000
G导视FHD,http://118.31.113.130:82/gudou.php?id=GHDdaoshi_7500
魅力足球FHD,http://118.31.113.130:82/gudou.php?id=meiliyinyueHD_7000
劲爆体育FHD,http://118.31.113.130:82/gudou.php?id=jinbaotiyuHD_7000
广东珠江,http://118.31.113.130:82/gudou.php?id=gdzhujiang_1500
广东公共,http://118.31.113.130:82/gudou.php?id=gdpublic_1500
广东新闻,http://118.31.113.130:82/gudou.php?id=gdnews_1500
广东体育,http://118.31.113.130:82/gudou.php?id=gdsports_1500
南方卫视,http://118.31.113.130:82/gudou.php?id=gdnanfang_1500
广东经济,http://118.31.113.130:82/gudou.php?id=GDjingjikejiaoHD_3000
广东影视,http://118.31.113.130:82/gudou.php?id=gdyingshi_1500
广东少儿,http://118.31.113.130:82/gudou.php?id=gdshaoer_1500
广东房产,http://118.31.113.130:82/gudou.php?id=fangchan_1500
现代教育,http://118.31.113.130:82/gudou.php?id=xiandaijiaoyu_1500
岭南戏曲,http://118.31.113.130:82/gudou.php?id=lingnanxiqu_1500
广州综合,http://118.31.113.130:82/gudou.php?id=guangzhou_1500
广州新闻,http://118.31.113.130:82/gudou.php?id=gznews_1500
广州经济,http://118.31.113.130:82/gudou.php?id=gzeconomic_1500
广州生活,http://118.31.113.130:82/gudou.php?id=gzlife_1500
广州竞赛,http://118.31.113.130:82/gudou.php?id=gzcompetition_1500
广州影视,http://118.31.113.130:82/gudou.php?id=gzfilms_1500
广州少儿,http://118.31.113.130:82/gudou.php?id=gzchild_1500
新会综合,http://118.31.113.130:82/gudou.php?id=xinhui_1500
佛山综合,http://118.31.113.130:82/gudou.php?id=foshannews_1500
佛山公共,http://118.31.113.130:82/gudou.php?id=foshanyingshi_1500
佛山南海,http://118.31.113.130:82/gudou.php?id=nanhaitai_2000
佛山顺德,http://118.31.113.130:82/gudou.php?id=shundetai_2000
湛江综合,http://118.31.113.130:82/gudou.php?id=zhanjiangzonghe_1500
湛江公共,http://118.31.113.130:82/gudou.php?id=zhanjianggongong_1500
韶关综合,http://118.31.113.130:82/gudou.php?id=shaoguanzonghe_1500
韶关公共,http://118.31.113.130:82/gudou.php?id=shaoguangonggong_1500
佛冈综合,http://118.31.113.130:82/gudou.php?id=2405
怀集综合,http://118.31.113.130:82/gudou.php?id=2805
博罗经典,http://118.31.113.130:82/gudou.php?id=boluojingdian_1500
博罗综合,http://118.31.113.130:82/gudou.php?id=boluozonghe_1500
云浮一套,http://118.31.113.130:82/gudou.php?id=yunfuyitao_1500
云浮二套,http://118.31.113.130:82/gudou.php?id=yunfuertao_1500
珠海一套,http://118.31.113.130:82/gudou.php?id=zhuhaiyitao_1500
珠海二套,http://118.31.113.130:82/gudou.php?id=zhuhaiertao_1500
东莞一套,http://118.31.113.130:82/gudou.php?id=dongguanyitao_1500
东莞二套,http://118.31.113.130:82/gudou.php?id=dongguanertao_1500
江门一套,http://118.31.113.130:82/gudou.php?id=jiangmenyitao_1500
江门二套,http://118.31.113.130:82/gudou.php?id=3712_1500
中山一套,http://118.31.113.130:82/gudou.php?id=zhongshanyitao_1500
中山二套,http://118.31.113.130:82/gudou.php?id=zhongshanertao_1500
河源一套,http://118.31.113.130:82/gudou.php?id=heyuanyitao_1500
河源二套,http://118.31.113.130:82/gudou.php?id=heyuanertao_1500
肇庆一套,http://118.31.113.130:82/gudou.php?id=zhaoqingyitao_1500
肇庆二套,http://118.31.113.130:82/gudou.php?id=zhaoqingertao_1500
惠州一套,http://118.31.113.130:82/gudou.php?id=2301_1500
惠州二套,http://118.31.113.130:82/gudou.php?id=2302_1500
汕头综合,http://118.31.113.130:82/gudou.php?id=shantouyitaogaoqing_1500
汕头经济,http://118.31.113.130:82/gudou.php?id=shantouertaogaoqing_1500
汕头文旅,http://118.31.113.130:82/gudou.php?id=2508_1500
汕尾-1,http://118.31.113.130:82/gudou.php?id=shanweiyitao_1500
汕尾-2,http://118.31.113.130:82/gudou.php?id=shanweiertao_1500
清远综合,http://118.31.113.130:82/gudou.php?id=qingyuanzonghe_1500
潮安综合,http://118.31.113.130:82/gudou.php?id=chaoanzonghe_2000
潮安影视,http://118.31.113.130:82/gudou.php?id=chaoantai_800
普宁台,http://118.31.113.130:82/gudou.php?id=puningtai_2000
全纪实,http://118.31.113.130:82/gudou.php?id=quanjishi_1500
新动漫,http://118.31.113.130:82/gudou.php?id=xindongman_1500
幸福彩,http://118.31.113.130:82/gudou.php?id=xingfucai_1500
高尔夫,http://118.31.113.130:82/gudou.php?id=golf_1500
劲爆体育,http://118.31.113.130:82/gudou.php?id=jinbaotiyu_1500
快乐垂钓,http://118.31.113.130:82/gudou.php?id=huanxiaojuchang_1500
法治天地,http://118.31.113.130:82/gudou.php?id=fazhitiandi_1500
都市剧场,http://118.31.113.130:82/gudou.php?id=dushijuchang_1500
极速汽车,http://118.31.113.130:82/gudou.php?id=jisuqiche_1500
魅力足球,http://118.31.113.130:82/gudou.php?id=meiliyinyue_1500
七彩戏剧,http://118.31.113.130:82/gudou.php?id=qicaixiju_1500
金色频道,http://118.31.113.130:82/gudou.php?id=jinsepindao_1500
生活时尚,http://118.31.113.130:82/gudou.php?id=shenghuoshishang_1500
东方财经,http://118.31.113.130:82/gudou.php?id=dongfangcaijing_1500
环球奇观,http://118.31.113.130:82/gudou.php?id=huanqiuqiguan_1500
中华美食,http://118.31.113.130:82/gudou.php?id=zhonghuameishi_1500
书画频道,http://118.31.113.130:82/gudou.php?id=shuhua_1500
网络棋牌,http://118.31.113.130:82/gudou.php?id=wangluoqipai_1500
英语辅导,http://118.31.113.130:82/gudou.php?id=yingyufudao_1500
先锋乒羽,http://118.31.113.130:82/gudou.php?id=pingyu_1500
中国气象,http://118.31.113.130:82/gudou.php?id=zgqixiang_1500
动漫秀场,http://118.31.113.130:82/gudou.php?id=dongmanxiuchang_1500
嘉佳卡通,http://118.31.113.130:82/gudou.php?id=gdjiajiacartoon_1500
优漫卡通,http://118.31.113.130:82/gudou.php?id=youmankatong_1500
金鹰卡通,http://118.31.113.130:82/gudou.php?id=jinyingkatong_1500
央视频道1,#genre#
CCTV-1综合频道,http://118.31.113.130:82/gudou.php?id=CCTV1HD_7000
CCTV-2财经频道,http://118.31.113.130:82/gudou.php?id=CCTV2HD_7000
CCTV-3综艺频道,http://118.31.113.130:82/gudou.php?id=CCTV3HD_7000
CCTV-4中文国际,http://118.31.113.130:82/gudou.php?id=CCTV-4HD_7500
CCTV-5体育频道,http://118.31.113.130:82/gudou.php?id=CCTV5HD_7000
CCTV-5+体育赛事,http://118.31.113.130:82/gudou.php?id=CCTV5plusHD_7000
CCTV-6电影频道,http://118.31.113.130:82/gudou.php?id=CCTV6HD_7000
CCTV-7国防军事,http://118.31.113.130:82/gudou.php?id=CCTV7HD_7000
CCTV-8电视剧场,http://118.31.113.130:82/gudou.php?id=CCTV8HD_7000
CCTV-9纪录频道,http://118.31.113.130:82/gudou.php?id=CCTV9HD_7000
CCTV-10科教频道,http://118.31.113.130:82/gudou.php?id=CCTV10HD_7000
CCTV-11戏曲频道,http://118.31.113.130:82/gudou.php?id=CCTV-11HD_7500
CCTV-12社会与法,http://118.31.113.130:82/gudou.php?id=CCTV12HD_7000
CCTV-13新闻频道,http://118.31.113.130:82/gudou.php?id=CCTV13HD_7500
CCTV-14少儿频道,http://118.31.113.130:82/gudou.php?id=CCTV14HD_7000
CCTV-15音乐频道,http://118.31.113.130:82/gudou.php?id=CCTV-15HD_7500
CCTV-16奥林匹克,http://118.31.113.130:82/gudou.php?id=1617_4500
CCTV-16奥林匹克4K,http://118.31.113.130:82/gudou.php?id=4010
CCTV-17农业农村,http://118.31.113.130:82/gudou.php?id=CCTV17HD_7500
CCTV-4K超高清,http://118.31.113.130:82/gudou.php?id=CCTVHHD4K_38000
CCTV-4K超高清,http://118.31.113.130:82/gudou.php?id=4005_4500
CCTV女性时尚,http://118.31.113.130:82/gudou.php?id=DOXyuanxianHD_7000
CCTV女性时尚,http://118.31.113.130:82/gudou.php?id=nvxingshishang_1500
CCTV世界地理,http://118.31.113.130:82/gudou.php?id=DOXhanliuHD_7000
CCTV世界地理,http://118.31.113.130:82/gudou.php?id=shijiedili_1500
CCTV央视精品,http://118.31.113.130:82/gudou.php?id=DOXyijiaHD_7000
CCTV央视精品,http://118.31.113.130:82/gudou.php?id=yangshijingpin_1500
CCTV央视台球,http://118.31.113.130:82/gudou.php?id=DOXyinglunHD_7000
CCTV风云音乐,http://118.31.113.130:82/gudou.php?id=DOXxinyiHD_7000
CCTV风云音乐,http://118.31.113.130:82/gudou.php?id=fengyunyinyue_1500
CCTV风云剧场,http://118.31.113.130:82/gudou.php?id=DOXxinzhiHD_7000
CCTV风云剧场,http://118.31.113.130:82/gudou.php?id=fengyunjuchang_1500
CCTV第一剧场,http://118.31.113.130:82/gudou.php?id=DOXyinghuaHD_7000
CCTV第一剧场,http://118.31.113.130:82/gudou.php?id=diyijuchang_1500
CCTV怀旧剧场,http://118.31.113.130:82/gudou.php?id=DOXjuchangHD_7000
CCTV怀旧剧场,http://118.31.113.130:82/gudou.php?id=huaijiujuchang_1500
CCTV风云足球,http://118.31.113.130:82/gudou.php?id=fengyunzuqiu_1500
CCTV发现之旅,http://118.31.113.130:82/gudou.php?id=faxianzhilv_1500
CCTV卫生健康,http://118.31.113.130:82/gudou.php?id=weishengjiankang_1500
